file,start,end,speaker,gender,age,birth_year,prompt,duration,text,emotion,emotion_ling,happy_ling,angry_ling,sad_ling,scared_ling,neutral_ling,angry_ac,happy_ac,neutral_ac,sad_ac,scared_ac,emotion_ac
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:05.026000,0 days 00:00:07.838000,M_26,male,34,1991,mf,2.8120000000000003,"Ich mache Ihnen heute noch eine Sprachnachricht, weil ich Sie...",unknown,scared,0.1673809587955474,0.2045606523752212,0.1929876953363418,0.3833158910274505,0.0517547763884067,-3.444,0.039,1.471,-0.483,1.099,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:14.978000,0 days 00:00:20.702000,M_26,male,34,1991,mf,5.724,"ein Empfehlungsschreiben für mich aufzusetzen, das ich brauche, weil ich mich gerne an der...",unknown,happy,0.4291916489601135,0.2000602036714553,0.0825720503926277,0.2395102083683014,0.0486658625304698,-2.716,-0.165,2.284,-0.146,-0.276,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:20.866000,0 days 00:00:23.454000,M_26,male,34,1991,mf,2.588,Universität Bristol für einen Promotionsstudiengang.,unknown,happy,0.2429809868335724,0.2422443330287933,0.1330035179853439,0.2151559889316558,0.1666151732206344,-4.733,-0.626,2.106,1.053,1.052,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:37.410000,0 days 00:00:41.406000,M_26,male,34,1991,mf,3.996,Das Schreiben sollte auf Englisch sein und...,unknown,sad,0.2419978082180023,0.1890435963869094,0.245333656668663,0.2260016202926635,0.0976232960820198,-2.622,0.234,2.91,-0.887,-0.735,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:43.522000,0 days 00:00:48.862000,M_26,male,34,1991,mf,5.34,"Und es muss auch Bildungshintergrund, Praxis- und Laborerfahrung erwähnt werden. Und das habe ich Ihnen das...",unknown,sad,0.1692500710487365,0.2282796204090118,0.2541857659816742,0.2276778370141983,0.1206066608428955,-4.392,-1.316,3.347,2.101,-0.381,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:00.994000,0 days 00:01:03.998000,M_26,male,34,1991,mf,3.004,"Die brauchen noch ein bisschen, das heißt, ich werde die dann nach...",unknown,sad,0.1593429148197174,0.2260086238384246,0.2751602232456207,0.1391352415084839,0.2003530263900756,-2.384,0.166,3.06,-0.918,-0.984,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:05.506000,0 days 00:01:09.534000,M_26,male,34,1991,mf,4.028,"Und da die Frist zum 24. Oktober ist, würde ich Sie bitten, dass...",unknown,happy,0.3102721273899078,0.1481956392526626,0.1738750040531158,0.1784951239824295,0.1891621351242065,-4.15,-1.168,3.551,1.904,-0.75,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:13.314000,0 days 00:01:16.478000,M_26,male,34,1991,mf,3.164,"zeitnah zu machen. Das wäre super, wenn sie das hinbekommen würden.",unknown,happy,0.4906369745731354,0.1777555495500564,0.1000842228531837,0.0977022424340248,0.1338210254907608,-5.14,-1.66,2.863,2.796,0.419,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:18.786000,0 days 00:01:25.214000,M_26,male,34,1991,mf,6.428,"Ich habe mich vor allen Dingen auch an sie gewandt, weil sie mich aus den Seminaren, die ich mit ihnen hatte,",unknown,scared,0.0571344457566738,0.3451863527297973,0.1170613467693328,0.4288521409034729,0.0517657212913036,-4.628,-2.033,3.219,3.369,-0.295,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:29.378000,0 days 00:01:32.862000,M_26,male,34,1991,mf,3.484,mir auch gute Rückmeldungen gegeben haben und das hat mich auch bestärkt dazu.,unknown,happy,0.721952497959137,0.0493848025798797,0.0549605675041675,0.0588582642376422,0.1148438826203346,-4.531,-0.954,2.202,1.402,0.866,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:48.578000,0 days 00:01:51.006000,M_26,male,34,1991,mf,2.428,Vielen Dank und Ihnen noch eine schöne Woche.,unknown,happy,0.4563451111316681,0.147832989692688,0.0841011703014373,0.1196503937244415,0.1920703500509262,-4.748,-1.789,3.414,2.987,-0.353,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:01.858000,0 days 00:00:04.478000,M_26,male,34,1991,mi,2.62,"Ja, hallo Sarah, ich wollte dir nochmal...",unknown,sad,0.2166533470153808,0.2021436989307403,0.245446115732193,0.1681185662746429,0.1676382720470428,-5.183,-1.946,3.569,3.633,-0.445,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:09.570000,0 days 00:00:14.014000,M_26,male,34,1991,mi,4.444,"dass wegen nächster Woche, wegen der Geburtstagsfeier, die...",unknown,happy,0.7932959794998169,0.091372013092041,0.0351864360272884,0.0569118708372116,0.023233650252223,-6.149,-3.152,1.753,5.877,1.355,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:14.530000,0 days 00:00:19.102000,M_26,male,34,1991,mi,4.572,"Das Wichtige schon gesagt, Ange erwähnt hatte, ist meine Familie auch mit dabei, weil...",unknown,angry,0.2525293827056885,0.3027102649211883,0.1822714060544967,0.1829242706298828,0.0795647129416465,-3.203,-0.253,3.11,-0.003,-0.6,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:20.834000,0 days 00:00:24.190000,M_26,male,34,1991,mi,3.356,"da sind, weil die gerade Urlaub machen und die sind aber voll entspannt und",unknown,happy,0.9134387373924256,0.0010847268858924,0.0004966064007021,0.000421393837314,0.0845585763454437,-4.538,-2.528,2.455,4.157,0.161,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:24.450000,0 days 00:00:30.238000,M_26,male,34,1991,mi,5.788,"Die werden sich auch nicht groß einmischen, wenn das nicht gewollt ist. So kannst du mal sagen, das kriegen wir auf jeden Fall hin.",unknown,neutral,0.0350980013608932,0.0163019280880689,0.0280895512551069,0.0202887523919343,0.9002218246459961,-5.406,-1.974,2.458,3.514,0.763,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:32.034000,0 days 00:00:34.846000,M_26,male,34,1991,mi,2.8120000000000003,"Du hattest gesagt, du willst 17 Uhr starten, glaube ich.",unknown,happy,0.5367971658706665,0.1496204286813736,0.144272118806839,0.0891290083527565,0.0801813080906868,-4.802,-0.635,1.713,1.183,1.327,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:39.138000,0 days 00:00:42.462000,M_26,male,34,1991,mi,3.324,"Dazu würde ich nur noch mal fragen, würde ich...",unknown,happy,0.3647883236408233,0.1950721144676208,0.2179030776023864,0.1445808112621307,0.0776556879281997,-1.82,-0.589,2.12,0.305,-0.691,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:42.754000,0 days 00:00:45.918000,M_26,male,34,1991,mi,3.164,"schreibe ich dir nochmal, was wir genau noch alles brauchen.",unknown,happy,0.3225759863853454,0.2534445226192474,0.1406434029340744,0.199602797627449,0.0837332084774971,-3.501,-0.197,2.247,0.06,0.282,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:56.642000,0 days 00:00:59.326000,M_26,male,34,1991,mi,2.684,"du von dir auch aus sagst, okay, deine Freunde, die du mitbringst, die...",unknown,happy,0.3623067736625671,0.1649708151817321,0.1452904343605041,0.1307673156261444,0.1966646909713745,-4.61,-1.553,3.802,2.653,-0.77,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:01:08.706000,0 days 00:01:18.706000,M_26,male,34,1991,mi,10.0,"Zwecks dem Tanzen habe ich auch einen DJ bestellt, wie du dir gewünscht hast. Und da kannst du dich auf eine Party mit sehr viel Energie und Gedanken machen.",unknown,happy,0.7625738382339478,0.0947394967079162,0.0407945849001407,0.0653779804706573,0.0365141034126281,-5.39,-1.974,2.632,3.636,0.524,sad
