file,start,end,speaker,gender,age,birth_year,prompt,duration,text,emotion,emotion_ling,happy_ling,angry_ling,sad_ling,scared_ling,neutral_ling
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:05.026000,0 days 00:00:07.838000,M_26,male,34,1991,mf,2.8120000000000003,"Ich mache Ihnen heute noch eine Sprachnachricht, weil ich Sie...",unknown,scared,0.16738095879554749,0.20456065237522125,0.19298769533634186,0.38331589102745056,0.051754776388406754
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:14.978000,0 days 00:00:20.702000,M_26,male,34,1991,mf,5.724,"ein Empfehlungsschreiben für mich aufzusetzen, das ich brauche, weil ich mich gerne an der...",unknown,happy,0.4291916489601135,0.20006020367145538,0.08257205039262772,0.2395102083683014,0.048665862530469894
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:20.866000,0 days 00:00:23.454000,M_26,male,34,1991,mf,2.588,Universität Bristol für einen Promotionsstudiengang.,unknown,happy,0.2429809868335724,0.24224433302879333,0.13300351798534393,0.21515598893165588,0.16661517322063446
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:37.410000,0 days 00:00:41.406000,M_26,male,34,1991,mf,3.996,Das Schreiben sollte auf Englisch sein und...,unknown,sad,0.24199780821800232,0.18904359638690948,0.24533365666866302,0.22600162029266357,0.0976232960820198
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:00:43.522000,0 days 00:00:48.862000,M_26,male,34,1991,mf,5.34,"Und es muss auch Bildungshintergrund, Praxis- und Laborerfahrung erwähnt werden. Und das habe ich Ihnen das...",unknown,sad,0.16925007104873657,0.22827962040901184,0.2541857659816742,0.2276778370141983,0.12060666084289551
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:00.994000,0 days 00:01:03.998000,M_26,male,34,1991,mf,3.004,"Die brauchen noch ein bisschen, das heißt, ich werde die dann nach...",unknown,sad,0.1593429148197174,0.22600862383842468,0.2751602232456207,0.1391352415084839,0.20035302639007568
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:05.506000,0 days 00:01:09.534000,M_26,male,34,1991,mf,4.028,"Und da die Frist zum 24. Oktober ist, würde ich Sie bitten, dass...",unknown,happy,0.31027212738990784,0.14819563925266266,0.17387500405311584,0.1784951239824295,0.18916213512420654
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:13.314000,0 days 00:01:16.478000,M_26,male,34,1991,mf,3.164,"zeitnah zu machen. Das wäre super, wenn sie das hinbekommen würden.",unknown,happy,0.4906369745731354,0.17775554955005646,0.10008422285318375,0.09770224243402481,0.1338210254907608
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:18.786000,0 days 00:01:25.214000,M_26,male,34,1991,mf,6.428,"Ich habe mich vor allen Dingen auch an sie gewandt, weil sie mich aus den Seminaren, die ich mit ihnen hatte,",unknown,scared,0.05713444575667381,0.34518635272979736,0.11706134676933289,0.4288521409034729,0.051765721291303635
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:29.378000,0 days 00:01:32.862000,M_26,male,34,1991,mf,3.484,mir auch gute Rückmeldungen gegeben haben und das hat mich auch bestärkt dazu.,unknown,happy,0.721952497959137,0.04938480257987976,0.05496056750416756,0.05885826423764229,0.11484388262033463
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mf.wav,0 days 00:01:48.578000,0 days 00:01:51.006000,M_26,male,34,1991,mf,2.428,Vielen Dank und Ihnen noch eine schöne Woche.,unknown,happy,0.4563451111316681,0.147832989692688,0.08410117030143738,0.11965039372444153,0.1920703500509262
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_mi.wav,0 days 00:00:01.858000,0 days 00:00:04.478000,M_26,male,34,1991,mi,2.62,"Ja, hallo Sarah, ich wollte dir nochmal...",unknown,sad,0.21665334701538086,0.20214369893074036,0.245446115732193,0.16811856627464294,0.16763827204704285
